event_id,transaction_id,customer_id,tx_time,amount,currency,merchant,merchant_category,payment_type,device_id,ip_address,user_agent,country,card_present,is_new_device,geo_mismatch,prior_tx_count_1h,prior_tx_count_24h,time_since_last_tx_min,is_fraud,fraud_type
5897bd5c-49ea-4b74-945d-ebb11babb198,e559089e-c5db-4045-af63-b54ee11a8124,CUST100000,2025-10-09 18:17:18,419.6,INR,Amazon,Retail,CARD,device_282,219.124.50.203,Mozilla/5.0 (Windows NT 10.0; Win64; x64),IN,1,0,0,0,0,,0,
89a350bf-33f3-49d5-ae7e-841030881f44,9df195b4-3be7-4934-aaa3-b8fc91e5f92b,CUST100000,2025-10-14 09:52:43,98.26,INR,Amazon,Retail,WALLET,device_282,26.160.218.73,Mozilla/5.0 (Windows NT 10.0; Win64; x64),IN,1,0,0,0,0,6695.416666666667,0,
5d3b4868-09f7-4595-8e45-c41c3e40011f,0f7a1173-5290-4737-a13a-d53867093ff1,CUST100000,2025-10-19 23:49:54,630.93,INR,Netflix,Entertainment,CARD,device_282,177.22.15.229,Mozilla/5.0 (Windows NT 10.0; Win64; x64),IN,1,0,0,0,0,8037.183333333333,0,
4b5d92d8-54ce-49d5-be4a-b7a8508a1cd2,18ecba99-0bbf-4e77-bcc6-3107592068fe,CUST100000,2025-10-22 14:06:14,228.1,INR,Airline,Travel,CARD,device_639,226.3.246.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64),IN,0,1,0,0,0,3736.3333333333335,0,
f8f32f0b-90db-4ac6-ac40-8fd747de55ed,b13d5bcc-361d-4cdd-8957-bad30d1c9065,CUST100001,2025-10-07 16:04:13,625.41,INR,Ola,Transport,NETBANKING,device_105,92.229.40.134,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),IN,1,0,1,0,0,,0,
a40f0ec9-8630-4167-bc3a-6efdcc70acf5,5c821e65-2ed3-40e1-ba01-4e461027eca6,CUST100001,2025-10-11 06:56:00,2753.36,USD,Zomato,Food,CARD,device_105,55.141.241.141,Mozilla/5.0 (Windows NT 10.0; Win64; x64),US,0,0,0,0,0,5211.783333333334,0,
5f25fd62-8879-44cd-8216-25eb85b92222,a2522333-2108-43d4-95f5-a840cd4770ca,CUST100001,2025-10-12 00:57:04,722.56,USD,Ola,Transport,UPI,device_105,14.139.91.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64),US,0,0,0,0,1,1081.0666666666666,0,
65c72d91-4586-4bcb-a236-d5b0bc3540b9,55f8eae2-d203-4ef9-b2e6-faeb5f49918e,CUST100001,2025-10-14 20:02:30,1685.42,USD,BigBasket,Grocery,CARD,device_105,203.157.20.231,Mozilla/5.0 (Linux; Android 10; SM-G973F),US,0,0,0,0,0,4025.4333333333334,0,
a40d622a-1f61-4ac8-8014-77630167041b,2e451df9-d5d5-41b3-b967-f13f6f0382f2,CUST100001,2025-10-16 14:30:31,1.0,USD,Zomato,Food,CARD,device_105,91.248.134.209,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),US,0,0,0,0,0,2548.016666666667,0,
e7f3a88f-abb3-4e50-87db-e6c953036686,88be2c24-2eca-459a-a841-6301a53a1039,CUST100001,2025-10-22 08:02:24,302.52,USD,Paytm,Payments,NETBANKING,device_105,217.17.232.137,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),US,1,0,0,0,0,8251.883333333333,0,
3a700669-a481-40ef-8ff7-7b024b178d72,5d357a4a-cbed-4c7b-b1f6-13be020d7c66,CUST100001,2025-10-23 03:19:35,233.52,USD,GooglePlay,Digital,CARD,device_105,25.133.152.248,Mozilla/5.0 (Linux; Android 10; SM-G973F),US,0,0,0,0,1,1157.1833333333334,0,
29d490b5-bf42-40ca-ac6f-9dfd7de6e25a,5017c88c-180c-47df-82c2-5c9f4a93d3b5,CUST100001,2025-10-26 19:52:19,699.64,USD,Spotify,Entertainment,CARD,device_105,165.125.119.21,Mozilla/5.0 (Linux; Android 10; SM-G973F),US,0,0,0,0,0,5312.733333333334,0,
